order_id,order_date,customername,state,city
B-26138,2019-04-17,Mahima,Madhya Pradesh,Indore
B-26139,2019-04-17,Gunjan,Maharashtra,Mumbai
B-26140,2019-04-18,Geetanjali,Jammu and Kashmir,Kashmir
B-26141,2019-04-18,Yogesh,Madhya Pradesh,Bhopal
B-26142,2019-04-18,Sukant,Karnataka,Bangalore
B-26143,2019-04-18,Avish,Andhra Pradesh,Hyderabad
B-26144,2019-04-18,Yogesh,Rajasthan,Jaipur
B-26145,2019-04-19,Apoorva,Punjab,Chandigarh
B-26146,2019-04-20,Gunjal,Maharashtra,Mumbai
B-26147,2019-04-20,Manju,Sikkim,Gangtok
B-26148,2019-04-20,Amit,Gujarat,Ahmedabad
B-26149,2019-04-20,Navdeep,Tamil Nadu,Chennai
B-26150,2019-04-20,Vini,Tamil Nadu,Chennai
B-26151,2019-04-21,Ritu,Madhya Pradesh,Indore
B-26152,2019-04-21,Sakshi,Maharashtra,Pune
B-26153,2019-04-22,Neha,Karnataka,Bangalore
B-26154,2019-04-22,Mukesh,Jammu and Kashmir,Kashmir
B-26155,2019-04-22,Divyeshkumar,Madhya Pradesh,Indore
B-26156,2019-04-22,Sujay,Maharashtra,Mumbai
B-26157,2019-04-22,Kanak,Madhya Pradesh,Indore
B-26158,2019-04-23,Sukant,West Bengal,Kolkata
B-26159,2019-04-23,Aman,Madhya Pradesh,Bhopal
B-26160,2019-04-23,Jahan,Karnataka,Bangalore
B-26161,2019-04-23,Kanak,Rajasthan,Jaipur
B-26162,2019-04-24,Swati,Jammu and Kashmir,Kashmir
B-26163,2019-04-24,Kirti,Rajasthan,Jaipur
B-26164,2019-04-25,Swetha,Maharashtra,Pune
B-26165,2019-04-25,Manshul,Madhya Pradesh,Indore
B-26166,2019-04-25,Kajal,Maharashtra,Mumbai
B-26167,2019-04-25,Rahul,Madhya Pradesh,Indore
B-26168,2019-04-26,Pooja,Uttar Pradesh,Allahabad
B-26169,2019-04-26,Bharat,Haryana,Chandigarh
B-26170,2019-04-26,Krutika,Sikkim,Gangtok
B-26171,2019-04-26,Jesal,Uttar Pradesh,Lucknow
B-26172,2019-04-26,Manibalan,Punjab,Chandigarh
B-26173,2019-04-27,Nida,Jammu and Kashmir,Kashmir
B-26174,2019-04-27,Swapnil,Nagaland,Kohima
B-26175,2019-04-27,Aastha,Haryana,Chandigarh
B-26176,2019-04-28,Amol,Maharashtra,Mumbai
B-26177,2019-04-29,Divyansh,Rajasthan,Udaipur
B-26178,2019-04-29,Inderpreet,Madhya Pradesh,Indore
B-26179,2019-04-30,Manish,Maharashtra,Mumbai
B-26180,2019-04-30,Lisha,Gujarat,Ahmedabad
B-26181,2019-04-30,Yogesh,Karnataka,Bangalore
B-26182,2019-04-30,Krishna,Maharashtra,Mumbai
B-26183,2019-05-01,Yogesh,Madhya Pradesh,Indore
B-26184,2019-05-01,Shruti,Maharashtra,Mumbai
B-26185,2019-05-01,Jitesh,Gujarat,Ahmedabad
B-26186,2019-05-02,Surabhi,Madhya Pradesh,Indore
B-26187,2019-05-02,Mhatre,Madhya Pradesh,Indore
B-26188,2019-05-02,Ayush,Andhra Pradesh,Hyderabad
B-26189,2019-05-03,Yogesh,Madhya Pradesh,Indore
B-26190,2019-05-03,Dhirajendu,West Bengal,Kolkata
B-26191,2019-05-04,Jaydeep,Goa,Goa
B-26192,2019-05-04,Shrichand,Himachal Pradesh,Simla
B-26193,2019-05-05,Anita,Tamil Nadu,Chennai
B-26194,2019-05-05,Preksha,Madhya Pradesh,Delhi
B-26195,2019-05-05,Sheetal,Haryana,Chandigarh
B-26196,2019-05-06,Saloni,Madhya Pradesh,Indore
B-26197,2019-05-07,Akshay,Delhi,Delhi
B-26198,2019-05-08,Mohit,Sikkim,Gangtok
B-26199,2019-05-08,Sonakshi,Punjab,Chandigarh
B-26200,2019-05-08,Vandana,Bihar,Patna
B-26201,2019-05-08,Sauptik,Madhya Pradesh,Bhopal
B-26202,2019-05-09,Nishant,West Bengal,Kolkata
B-26203,2019-05-10,Subhashree,Punjab,Chandigarh
B-26204,2019-05-10,Rachna,Goa,Goa
B-26205,2019-05-10,Shivanshu,Maharashtra,Mumbai
B-26206,2019-05-11,Subhashree,Punjab,Chandigarh
B-26207,2019-05-11,Chirag,Madhya Pradesh,Indore
B-26208,2019-05-11,Monisha,Maharashtra,Pune
B-26209,2019-05-12,Sajal,Madhya Pradesh,Bhopal
B-26210,2019-05-12,Megha,Jammu and Kashmir,Kashmir
B-26211,2019-05-12,Trupti,Madhya Pradesh,Bhopal
B-26212,2019-05-12,Tejeswini,Madhya Pradesh,Indore
B-26213,2019-05-12,Pearl,Madhya Pradesh,Indore
B-26214,2019-05-13,Teena,Madhya Pradesh,Indore
B-26215,2019-05-13,Priyanshu,Gujarat,Ahmedabad
B-26216,2019-05-13,Sagar,Gujarat,Surat
B-26217,2019-05-14,Navdeep,Himachal Pradesh,Simla
B-26218,2019-05-15,Anubhaw,Maharashtra,Pune
B-26219,2019-05-15,Monisha,Goa,Goa
B-26220,2019-05-15,Mitali,Maharashtra,Mumbai
B-26221,2019-05-15,Shrichand,Goa,Goa
B-26222,2019-05-16,Yaanvi,Himachal Pradesh,Simla
B-26223,2019-05-16,Nida,Maharashtra,Pune
B-26224,2019-05-16,Riya,Jammu and Kashmir,Kashmir
B-26225,2019-05-16,Aman,Rajasthan,Jaipur
B-26226,2019-05-16,Sanskriti,Tamil Nadu,Chennai
B-26227,2019-05-17,Diwakar,Gujarat,Surat
B-26228,2019-05-18,Divyeta,Sikkim,Gangtok
B-26229,2019-05-18,Ayush,Gujarat,Ahmedabad
B-26230,2019-05-18,Yash,Maharashtra,Mumbai
B-26231,2019-05-18,Harsh,Madhya Pradesh,Indore
B-26232,2019-05-19,Aparajita,Maharashtra,Mumbai
B-26233,2019-05-20,Sagar,Uttar Pradesh,Lucknow
B-26234,2019-05-20,Sandra,Gujarat,Ahmedabad
B-26235,2019-05-20,Chirag,Punjab,Chandigarh
B-26236,2019-05-20,Smriti,Karnataka,Bangalore
B-26237,2019-05-20,Palak,Madhya Pradesh,Indore
B-26238,2019-05-21,Bhishm,Madhya Pradesh,Bhopal
B-26239,2019-05-21,Sabah,Punjab,Amritsar
B-26240,2019-05-21,Ashmi,Maharashtra,Mumbai
B-26241,2019-05-22,Piyali,Rajasthan,Jaipur
B-26242,2019-05-22,Nripraj,Punjab,Amritsar
B-26243,2019-05-22,Pradeep,Uttar Pradesh,Lucknow
B-26244,2019-05-22,Anubhaw,Maharashtra,Mumbai
B-26245,2019-05-22,Sharda,Haryana,Chandigarh
B-26246,2019-05-23,Vineet,Sikkim,Gangtok
B-26247,2019-05-23,Jitesh,Sikkim,Gangtok
B-26248,2019-05-23,Abhishek,Himachal Pradesh,Simla
B-26249,2019-05-24,Vedant,Rajasthan,Jaipur
B-26250,2019-05-24,Aarushi,West Bengal,Kolkata
B-26251,2019-05-24,Anjali,Maharashtra,Mumbai
B-26252,2019-05-24,Monisha,Madhya Pradesh,Indore
B-26253,2019-05-24,Prashant,Rajasthan,Jaipur
B-26254,2019-05-25,Hitika,Maharashtra,Pune
B-26255,2019-05-25,Shweta,Madhya Pradesh,Indore
B-26256,2019-05-26,Sandeep,Madhya Pradesh,Indore
B-26257,2019-05-27,Nitant,Bihar,Patna
B-26258,2019-05-28,Ramesh,Madhya Pradesh,Indore
B-26259,2019-05-28,Shreyshi,Jammu and Kashmir,Kashmir
B-26260,2019-05-29,Kshitij,Gujarat,Ahmedabad
B-26261,2019-05-29,Pinky,Madhya Pradesh,Indore
B-26262,2019-05-29,Sonakshi,Madhya Pradesh,Indore
B-26263,2019-05-30,Shreya,Andhra Pradesh,Hyderabad
B-26264,2019-05-31,Shivam,Maharashtra,Mumbai
B-26265,2019-05-31,Amisha,Madhya Pradesh,Indore
B-26266,2019-06-01,Sonakshi,Himachal Pradesh,Simla
B-26267,2019-06-02,Shreya,Sikkim,Gangtok
B-26268,2019-06-02,Muskan,Bihar,Patna
B-26269,2019-06-02,Harshal,Madhya Pradesh,Indore
B-26270,2019-06-02,Sonakshi,Kerala,Thiruvananthapuram
B-26271,2019-06-03,Mahima,Punjab,Amritsar
B-26272,2019-06-03,Apsingekar,Gujarat,Surat
B-26273,2019-06-03,Yash,Delhi,Delhi
B-26274,2019-06-04,Arsheen,Karnataka,Bangalore
B-26275,2019-06-04,Harsh,Punjab,Chandigarh
B-26276,2019-06-04,Neha,Madhya Pradesh,Indore
B-26277,2019-06-04,Harshal,Punjab,Chandigarh
B-26278,2019-06-05,Ashvini,Bihar,Patna
B-26279,2019-06-05,Shantanu,Sikkim,Gangtok
B-26280,2019-06-05,Kirti,Rajasthan,Udaipur
B-26281,2019-06-06,Hitika,Punjab,Chandigarh
B-26282,2019-06-06,Parakh,Delhi,Delhi
B-26283,2019-06-07,Hemant,Madhya Pradesh,Indore
B-26284,2019-06-07,Akancha,Maharashtra,Mumbai
B-26285,2019-06-07,Sahil,Rajasthan,Jaipur
B-26286,2019-06-08,Shantanu,Delhi,Delhi
B-26287,2019-06-08,Amol,Rajasthan,Jaipur
B-26288,2019-06-08,Gunjan,Delhi,Delhi
B-26289,2019-06-09,Shivanshu,Bihar,Patna
B-26290,2019-06-09,Krishna,Madhya Pradesh,Bhopal
B-26291,2019-06-10,Sonal,Madhya Pradesh,Indore
B-26292,2019-06-10,Hitika,Madhya Pradesh,Bhopal
B-26293,2019-06-10,Mane,Rajasthan,Udaipur
B-26294,2019-06-11,Aayushi,Gujarat,Ahmedabad
B-26295,2019-06-12,Sonakshi,Rajasthan,Jaipur
B-26296,2019-06-12,Srishti,Gujarat,Surat
B-26297,2019-06-12,Sanjay,Delhi,Delhi
B-26298,2019-06-12,Mhatre,Maharashtra,Pune
B-26299,2019-06-12,Mitali,Madhya Pradesh,Indore
B-26300,2019-06-13,Saptadeep,Jammu and Kashmir,Kashmir
B-26301,2019-06-13,Utkarsh,Maharashtra,Mumbai
B-26302,2019-06-14,Paridhi,Punjab,Chandigarh
B-26303,2019-06-14,Divyansh,Madhya Pradesh,Bhopal
B-26304,2019-06-14,Sheetal,Bihar,Patna
B-26305,2019-06-14,Farah,Maharashtra,Mumbai
B-26306,2019-06-14,Shrichand,Nagaland,Kohima
B-26307,2019-06-15,Abhijeet,Delhi,Delhi
B-26308,2019-06-15,Akanksha,Maharashtra,Mumbai
B-26309,2019-06-16,Pranav,Gujarat,Surat
B-26310,2019-06-16,Dhanraj,Sikkim,Gangtok
B-26311,2019-06-17,Ishpreet,Nagaland,Kohima
B-26312,2019-06-17,Tanvi,Maharashtra,Mumbai
B-26313,2019-06-17,Kasheen,Karnataka,Bangalore
B-26314,2019-06-17,Jayanti,Maharashtra,Mumbai
B-26315,2019-06-18,Rachna,Tamil Nadu,Chennai
B-26316,2019-06-18,Soumya,Karnataka,Bangalore
B-26317,2019-06-18,Diwakar,Madhya Pradesh,Bhopal
B-26318,2019-06-18,Sonakshi,Delhi,Delhi
B-26319,2019-06-19,Shreyoshe,Madhya Pradesh,Indore
B-26320,2019-06-19,Charika,Maharashtra,Mumbai
B-26321,2019-06-19,Aromal,Madhya Pradesh,Bhopal
B-26322,2019-06-20,Shaily,West Bengal,Kolkata
B-26323,2019-06-20,Patil,Uttar Pradesh,Lucknow
B-26324,2019-06-20,Ramesh,Gujarat,Ahmedabad
B-26325,2019-06-20,Shikhar,Bihar,Patna
B-26326,2019-06-20,Amit,Maharashtra,Pune
B-26327,2019-06-21,Aarushi,Kerala,Thiruvananthapuram
B-26328,2019-06-21,Shaily,Haryana,Chandigarh
B-26329,2019-06-22,Shubham,Karnataka,Bangalore
B-26330,2019-06-22,Divyeta,Haryana,Chandigarh
B-26331,2019-06-22,Nripraj,Maharashtra,Mumbai
B-26332,2019-06-23,Saloni,West Bengal,Kolkata
B-26333,2019-06-24,Ananya,West Bengal,Kolkata
B-26334,2019-06-24,Sanjay,Maharashtra,Mumbai
B-26335,2019-06-25,Kritika,Punjab,Chandigarh
B-26336,2019-06-26,Seema,Maharashtra,Mumbai
B-26337,2019-06-26,Chetan,Goa,Goa
B-26338,2019-06-26,Rutuja,Maharashtra,Mumbai
B-26339,2019-06-27,Ishit,Karnataka,Bangalore
B-26340,2019-06-27,Deepak,Maharashtra,Mumbai
B-26341,2019-06-27,Shikhar,Himachal Pradesh,Simla
B-26342,2019-06-27,Dhirajendu,Maharashtra,Mumbai
B-26343,2019-06-28,Yash,Rajasthan,Udaipur
B-26344,2019-06-28,Pratyusmita,Himachal Pradesh,Simla
B-26345,2019-06-28,Swapnil,Tamil Nadu,Chennai
B-26346,2019-06-29,Harsh,Nagaland,Kohima
B-26347,2019-06-30,Amit,Maharashtra,Pune
B-26348,2019-06-30,Aryan,Punjab,Amritsar
B-26349,2019-07-01,Bathina,Delhi,Delhi
B-26350,2019-07-01,Ashvini,Uttar Pradesh,Lucknow
B-26351,2019-07-01,Hemant,Delhi,Delhi
B-26352,2019-07-01,Akshay,Maharashtra,Mumbai
B-26353,2019-07-01,Swetha,Himachal Pradesh,Simla
B-26354,2019-07-02,Aashna,Uttar Pradesh,Lucknow
B-26355,2019-07-02,Sanskriti,Madhya Pradesh,Delhi
B-26356,2019-07-02,Ashmi,Madhya Pradesh,Indore
B-26357,2019-07-03,Manibalan,Madhya Pradesh,Bhopal
B-26358,2019-07-03,Sanjana,Punjab,Chandigarh
B-26359,2019-07-04,Pournamasi,Kerala,Thiruvananthapuram
B-26360,2019-07-04,Shweta,Uttar Pradesh,Lucknow
B-26361,2019-07-04,Ankit,Maharashtra,Mumbai
B-26362,2019-07-04,Pranav,Gujarat,Ahmedabad
B-26363,2019-07-05,Komal,Madhya Pradesh,Indore
B-26364,2019-07-05,Hemangi,Punjab,Chandigarh
B-26365,2019-07-05,Krishna,Gujarat,Ahmedabad
B-26366,2019-07-05,Shishu,Madhya Pradesh,Indore
B-26367,2019-07-06,Nida,Madhya Pradesh,Indore
B-26368,2019-07-06,Ishit,Delhi,Delhi
B-26369,2019-07-06,Savi,Rajasthan,Udaipur
B-26370,2019-07-06,Kanak,Madhya Pradesh,Indore
B-26371,2019-07-07,Manisha,Madhya Pradesh,Indore
B-26372,2019-07-07,Kirti,Rajasthan,Udaipur
B-26373,2019-07-08,Shruti,Madhya Pradesh,Indore
B-26374,2019-07-08,Divyeta,Karnataka,Bangalore
B-26375,2019-07-08,Pinky,Madhya Pradesh,Indore
B-26376,2019-07-09,Aarushi,Karnataka,Bangalore
B-26377,2019-07-09,Diwakar,West Bengal,Kolkata
B-26378,2019-07-10,Duhita,Jammu and Kashmir,Kashmir
B-26379,2019-07-10,Gaurav,Madhya Pradesh,Indore
B-26380,2019-07-11,Aakanksha,Madhya Pradesh,Indore
B-26381,2019-07-11,Dipali,Maharashtra,Mumbai
B-26382,2019-07-11,Shourya,Rajasthan,Jaipur
B-26383,2019-07-11,Rohan,Madhya Pradesh,Bhopal
B-26384,2019-07-11,Aayushi,Maharashtra,Mumbai
B-26385,2019-07-12,Sheetal,Maharashtra,Pune
B-26386,2019-07-12,Pinky,Madhya Pradesh,Indore
B-26387,2019-07-12,Nripraj,Gujarat,Ahmedabad
B-26388,2019-07-12,Monica,Kerala,Thiruvananthapuram
B-26389,2019-07-12,Preksha,Rajasthan,Jaipur
B-26390,2019-07-13,Prajakta,Rajasthan,Udaipur
B-26391,2019-07-13,Chikku,Bihar,Patna
B-26392,2019-07-13,Lisha,Haryana,Chandigarh
B-26393,2019-07-14,Saurabh,West Bengal,Kolkata
B-26394,2019-07-14,Swapnil,Madhya Pradesh,Indore
B-26395,2019-07-14,Adhvaita,Gujarat,Surat
B-26396,2019-07-14,Harsh,Kerala,Thiruvananthapuram
B-26397,2019-07-14,Syed,Goa,Goa
B-26398,2019-07-15,Sarita,Jammu and Kashmir,Kashmir
B-26399,2019-07-15,Monisha,West Bengal,Kolkata
B-26400,2019-07-15,Adhvaita,Uttar Pradesh,Allahabad
B-26401,2019-07-15,Ayush,Punjab,Amritsar
B-26402,2019-07-16,Harsh,Delhi,Delhi
B-26403,2019-07-16,Subhashree,Uttar Pradesh,Lucknow
B-26404,2019-07-16,Snel,Gujarat,Surat
B-26405,2019-07-16,Shweta,Madhya Pradesh,Indore
B-26406,2019-07-16,Mrinal,Sikkim,Gangtok
B-26407,2019-07-17,Monica,Maharashtra,Pune
B-26408,2019-07-17,Vijay,Madhya Pradesh,Indore
B-26409,2019-07-17,Nikhil,Karnataka,Bangalore
B-26410,2019-07-17,Shweta,Maharashtra,Mumbai
B-26411,2019-07-18,Hitika,Maharashtra,Mumbai
B-26412,2019-07-18,Preksha,Punjab,Chandigarh
B-26413,2019-07-18,Shivani,Madhya Pradesh,Indore
B-26414,2019-07-19,Mrunal,Andhra Pradesh,Hyderabad
B-26415,2019-07-19,Aishwarya,Madhya Pradesh,Bhopal
B-26416,2019-07-20,Farah,Punjab,Chandigarh
B-26417,2019-07-20,Anand,Jammu and Kashmir,Kashmir
B-26418,2019-07-21,Anchal,Rajasthan,Jaipur
B-26419,2019-07-21,Mayank,Kerala,Thiruvananthapuram
B-26420,2019-07-21,Riya,Madhya Pradesh,Indore
B-26421,2019-07-21,Tejas,Jammu and Kashmir,Kashmir
B-26422,2019-07-21,Kirti,Punjab,Chandigarh
B-26423,2019-07-22,Anjali,Maharashtra,Mumbai
B-26424,2019-07-22,Monica,Kerala,Thiruvananthapuram
B-26425,2019-07-22,Vandana,Maharashtra,Mumbai
B-26426,2019-07-22,Pinky,Sikkim,Gangtok
B-26427,2019-07-23,Aayushi,Maharashtra,Mumbai
B-26428,2019-07-24,Bhishm,Punjab,Amritsar
B-26429,2019-07-25,Parth,Bihar,Patna
B-26430,2019-07-26,Rashmi,Maharashtra,Mumbai
B-26431,2019-07-26,Tanvi,Maharashtra,Mumbai
B-26432,2019-07-27,Adhvaita,Maharashtra,Mumbai
B-26433,2019-07-27,Anita,Himachal Pradesh,Simla
B-26434,2019-07-28,Aashna,Maharashtra,Mumbai
B-26435,2019-07-28,Bhawna,Maharashtra,Mumbai
B-26436,2019-07-28,Gaurav,Madhya Pradesh,Bhopal
B-26437,2019-07-28,Jesslyn,Maharashtra,Pune
B-26438,2019-07-29,Divsha,Maharashtra,Pune
B-26439,2019-07-29,Akshata,Madhya Pradesh,Delhi
B-26440,2019-07-29,Shourya,Madhya Pradesh,Bhopal
B-26441,2019-07-29,Surabhi,Karnataka,Bangalore
B-26442,2019-07-29,Paromita,Nagaland,Kohima
B-26443,2019-07-30,Shefali,Punjab,Chandigarh
B-26444,2019-07-31,Bhawna,Kerala,Thiruvananthapuram
B-26445,2019-07-31,Girase,Punjab,Amritsar
B-26446,2019-07-31,Monu,Maharashtra,Mumbai
B-26447,2019-07-31,Ashwin,Nagaland,Kohima
B-26448,2019-08-01,Krishna,Maharashtra,Mumbai
B-26449,2019-08-01,Parakh,Madhya Pradesh,Indore
B-26450,2019-08-01,Bhutekar,Gujarat,Surat
B-26451,2019-08-01,Wale,Maharashtra,Mumbai
B-26452,2019-08-02,Tushina,Madhya Pradesh,Indore
B-26453,2019-08-02,Anchal,Maharashtra,Mumbai
B-26454,2019-08-02,Bhawna,Punjab,Amritsar
B-26455,2019-08-02,Shivanshu,Tamil Nadu,Chennai
B-26456,2019-08-02,Parakh,Maharashtra,Mumbai
B-26457,2019-08-03,Tanushree,Karnataka,Bangalore
B-26458,2019-08-03,Suraj,Himachal Pradesh,Simla
B-26459,2019-08-03,Mhatre,Karnataka,Bangalore
B-26460,2019-08-03,Anmol,Kerala,Thiruvananthapuram
B-26461,2019-08-04,Rane,Delhi,Delhi
B-26462,2019-08-04,Nikhil,Kerala,Thiruvananthapuram
B-26463,2019-08-04,Sanjova,Rajasthan,Udaipur
B-26464,2019-08-04,Ishit,Maharashtra,Mumbai
B-26465,2019-08-04,Vandana,Maharashtra,Pune
B-26466,2019-08-05,Amisha,Tamil Nadu,Chennai
B-26467,2019-08-05,Kajal,Delhi,Delhi
B-26468,2019-08-05,Sahil,Punjab,Amritsar
B-26469,2019-08-06,Rachna,Madhya Pradesh,Indore
B-26470,2019-08-06,Pratyusmita,Madhya Pradesh,Bhopal
B-26471,2019-08-06,Aakanksha,Karnataka,Bangalore
B-26472,2019-08-06,Anjali,Maharashtra,Mumbai
B-26473,2019-08-06,Sandra,Delhi,Delhi
B-26474,2019-08-07,Farah,Maharashtra,Pune
B-26475,2019-08-08,Manisha,Bihar,Patna
B-26476,2019-08-09,Subhasmita,Delhi,Delhi
B-26477,2019-08-09,Monu,Madhya Pradesh,Indore
B-26478,2019-08-09,Srishti,Karnataka,Bangalore
B-26479,2019-08-09,Ashvini,Madhya Pradesh,Indore
B-26480,2019-08-09,Jitesh,Andhra Pradesh,Hyderabad
B-26481,2019-08-10,Manisha,Maharashtra,Mumbai
B-26482,2019-08-10,Parishi,Madhya Pradesh,Indore
B-26483,2019-08-10,Shrichand,Karnataka,Bangalore
B-26484,2019-08-11,Amruta,Madhya Pradesh,Indore
B-26485,2019-08-11,Sonakshi,Madhya Pradesh,Indore
B-26486,2019-08-11,Hazel,Maharashtra,Mumbai
B-26487,2019-08-12,Sonal,Tamil Nadu,Chennai
B-26488,2019-08-13,Aishwarya,Delhi,Delhi
B-26489,2019-08-13,Teena,Delhi,Delhi
B-26490,2019-08-13,Mayank,Nagaland,Kohima
B-26491,2019-08-14,Surabhi,Madhya Pradesh,Indore
B-26492,2019-08-14,Ramesh,Madhya Pradesh,Bhopal
B-26493,2019-08-14,Jesslyn,Madhya Pradesh,Indore
B-26494,2019-08-14,Adhvaita,Rajasthan,Jaipur
B-26495,2019-08-15,Aditya,Kerala,Thiruvananthapuram
B-26496,2019-08-15,Shreya,Madhya Pradesh,Indore
B-26497,2019-08-16,Sanjana,Maharashtra,Mumbai
B-26498,2019-08-16,Ginny,Gujarat,Ahmedabad
B-26499,2019-08-16,Rohan,Jammu and Kashmir,Kashmir
B-26500,2019-08-16,Anand,Rajasthan,Jaipur
B-26501,2019-08-17,Hitika,Haryana,Chandigarh
B-26502,2019-08-18,Shruti,Madhya Pradesh,Bhopal
B-26503,2019-08-18,Mohit,Maharashtra,Pune
B-26504,2019-08-18,Trupti,Himachal Pradesh,Simla
B-26505,2019-08-19,Shourya,Kerala,Thiruvananthapuram
B-26506,2019-08-19,Vineet,Maharashtra,Mumbai
B-26507,2019-08-19,Ekta,Himachal Pradesh,Simla
B-26508,2019-08-19,Saloni,Karnataka,Bangalore
B-26509,2019-08-19,Sanjay,Maharashtra,Mumbai
B-26510,2019-08-20,Meghana,Madhya Pradesh,Indore
B-26511,2019-08-20,Divyansha,Rajasthan,Udaipur
B-26512,2019-08-21,Yaanvi,Maharashtra,Mumbai
B-26513,2019-08-21,Swapnil,Uttar Pradesh,Lucknow
B-26514,2019-08-21,Shefali,Maharashtra,Mumbai
B-26515,2019-08-21,Suman,Gujarat,Ahmedabad
B-26516,2019-08-21,Saurabh,Madhya Pradesh,Delhi
B-26517,2019-08-22,Vikash,Madhya Pradesh,Indore
B-26518,2019-08-23,Nishant,Haryana,Chandigarh
B-26519,2019-08-23,Sonakshi,Madhya Pradesh,Bhopal
B-26520,2019-08-23,Daksh,Maharashtra,Mumbai
B-26521,2019-08-24,Divyansh,Himachal Pradesh,Simla
B-26522,2019-08-24,Shrichand,Rajasthan,Udaipur
B-26523,2019-08-24,Avish,Bihar,Patna
B-26524,2019-08-24,Jahan,Rajasthan,Jaipur
B-26525,2019-08-24,Subhasmita,Rajasthan,Jaipur
B-26526,2019-08-25,Anisha,Maharashtra,Mumbai
B-26527,2019-08-25,Shubhi,Maharashtra,Mumbai
B-26528,2019-08-25,Shreya,Maharashtra,Mumbai
B-26529,2019-08-25,Girase,Punjab,Chandigarh
B-26530,2019-08-25,Megha,Maharashtra,Mumbai
B-26531,2019-08-26,Bhishm,Uttar Pradesh,Lucknow
B-26532,2019-08-26,Hemant,Goa,Goa
B-26533,2019-08-27,Shubham,Haryana,Chandigarh
B-26534,2019-08-27,Siddharth,Madhya Pradesh,Indore
B-26535,2019-08-28,Aditi,Madhya Pradesh,Bhopal
B-26536,2019-08-28,Mhatre,Maharashtra,Mumbai
B-26537,2019-08-28,Anand,Gujarat,Surat
B-26538,2019-08-29,Adhvaita,Andhra Pradesh,Hyderabad
B-26539,2019-08-29,Shatayu,Madhya Pradesh,Indore
B-26540,2019-08-30,Meghana,Haryana,Chandigarh
B-26541,2019-08-30,Pournamasi,Rajasthan,Udaipur
B-26542,2019-08-30,Yaanvi,Haryana,Chandigarh
B-26543,2019-08-30,Tejeswini,Madhya Pradesh,Indore
B-26544,2019-08-30,Farah,Punjab,Chandigarh
B-26545,2019-08-31,Shivani,Madhya Pradesh,Indore
B-26546,2019-08-31,Mrunal,Uttar Pradesh,Lucknow
B-26547,2019-08-31,Akshay,Uttar Pradesh,Lucknow
B-26548,2019-08-31,Shivanshu,Jammu and Kashmir,Kashmir
B-26549,2019-08-31,Anjali,Delhi,Delhi
B-26550,2019-09-01,Turumella,Maharashtra,Mumbai
B-26551,2019-09-02,Pournamasi,Sikkim,Gangtok
B-26552,2019-09-02,Inderpreet,Madhya Pradesh,Bhopal
B-26553,2019-09-02,Mahima,Madhya Pradesh,Bhopal
B-26554,2019-09-02,Aditya,Haryana,Chandigarh
B-26555,2019-09-02,Farah,Madhya Pradesh,Indore
B-26556,2019-09-03,Shreyoshe,Kerala,Thiruvananthapuram
B-26557,2019-09-03,Akshata,Rajasthan,Jaipur
